"['bummer', 'got', 'david', 'third', 'day']",0
"['upset', 'update', 'might', 'cry', 'result', 'school', 'today', 'also', 'blah']",0
"['dived', 'many', 'times', 'ball', 'managed', 'save', 'rest', 'go', 'bounds']",0
"['whole', 'body', 'feels', 'itchy', 'like', 'fire']",0
"['behaving', 'mad', 'see']",0
"['whole', 'crew']",0
"['need', 'hug']",0
"['long', 'time', 'see', 'yes', 'rains', 'bit', 'bit', 'fine', 'thanks']",0
[],0
[],0
"['spring', 'break', 'plain', 'city', 'snowing']",0
"['pierced', 'ears']",0
"['bear', 'watch', 'thought', 'loss', 'embarrassing']",0
"['counts', 'either', 'never', 'talk', 'anymore']",0
"['first', 'gun', 'really', 'though']",0
"['wish', 'got', 'watch', 'miss', 'premiere']",0
"['death', 'scene', 'hurt', 'severely', 'watch', 'film', 'wry', 'directors', 'cut']",0
"['file', 'taxes']",0
"['always', 'wanted', 'see', 'rent', 'love', 'soundtrack']",0
"['oh', 'dear', 'drinking', 'forgotten', 'table', 'drinks']",0
"['day', 'get', 'much', 'done']",0
"['one', 'friend', 'called', 'asked', 'meet', 'mid', 'valley', 'today', 'time', 'sigh']",0
"['baked', 'cake']",0
"['week', 'going', 'hoped']",0
"['class', 'tomorrow']",0
"['hate', 'call', 'wake', 'people']",0
"['going', 'cry', 'sleep', 'watching', 'marley']",0
"['sad', 'miss']",0
"['ok', 'get', 'mad']",0
"['almost', 'lover', 'exception', 'track', 'gets', 'depressed', 'every', 'time']",0
"['hacked', 'account', 'aim', 'make', 'new', 'one']",0
"['want', 'go', 'promote', 'gear', 'groove', 'ride', 'may', 'going', 'one', 'anaheim', 'may', 'though']",0
"['thought', 'sleeping', 'option', 'tomorrow', 'realizing', 'evaluations', 'morning', 'work', 'afternoon']",0
"['awe', 'love', 'miss']",0
"['cry', 'asian', 'eyes', 'sleep', 'night']",0
"['ok', 'sick', 'spent', 'hour', 'sitting', 'shower', 'cause', 'sick', 'stand', 'held', 'back', 'puke', 'like', 'champ', 'bed']",0
"['ill', 'tell', 'story', 'later', 'good', 'day', 'ill', 'like', 'three', 'hours']",0
"['sorry', 'bed', 'time', 'came', 'gmt']",0
"['either', 'depressing', 'think', 'even', 'want', 'know', 'kids', 'suitcases']",0
"['bed', 'class', 'work', 'gym', 'class', 'another', 'day', 'na', 'fly', 'miss', 'girlfriend']",0
"['really', 'feel', 'like', 'getting', 'today', 'got', 'study', 'tomorrows', 'practical', 'exam']",0
"['reason', 'teardrops', 'guitar', 'one', 'enough', 'break', 'heart']",0
"['sad', 'sad', 'sad', 'know', 'hate', 'feeling', 'wan', 'na', 'sleep', 'still']",0
